,.model,Region,Product,MAE
244,harmonic2,R6,BFD,444480.0897
245,harmonic2,R6,BFW,179470.941
246,harmonic2,R6,BNW,180180.2772
247,harmonic2,R6,CFD,3104940.156
248,harmonic2,R6,CFW,1241734.051
249,harmonic2,R6,CNW,191097.2155
250,harmonic2,R6,DFD,180303.128
251,harmonic2,R6,DFW,1390357.667
252,harmonic2,R6,DNW,20071.18815
253,harmonic2,R6,EFD,109000.4191
254,harmonic2,R6,EFW,410203.3514
255,harmonic2,R6,ENW,26339.73925
256,harmonic2,R7,AFD,92474.06796
257,harmonic2,R7,AFW,3761359.576
258,harmonic2,R7,ANW,35851.22627
259,harmonic2,R7,BFD,101616.2891
260,harmonic2,R7,BFW,251847.0953
261,harmonic2,R7,BNW,223753.5557
262,harmonic2,R7,CFD,1403208.914
263,harmonic2,R7,CFW,8294623.589
264,harmonic2,R7,CNW,11661.62907
265,harmonic2,R7,DFD,132818.9925
266,harmonic2,R7,DFW,597496.9048
267,harmonic2,R7,DNW,38179.92708
268,harmonic2,R7,EFD,116513.3693
269,harmonic2,R7,EFW,181358.3816
270,harmonic2,R7,ENW,4547.215805
271,harmonic2,R8,AFD,60214.71992
272,harmonic2,R8,AFW,368722.4903
273,harmonic2,R8,ANW,15981.50418
274,harmonic2,R8,BFD,29731.46941
275,harmonic2,R8,BFW,44802.96022
276,harmonic2,R8,BNW,55608.94936
277,harmonic2,R8,CFD,381951.4388
278,harmonic2,R8,CFW,1834681.217
279,harmonic2,R8,CNW,55672.59686
280,harmonic2,R8,DFD,76252.29853
281,harmonic2,R8,DFW,204035.8167
282,harmonic2,R8,DNW,9642.264381
283,harmonic2,R8,EFD,59398.42244
284,harmonic2,R8,EFW,101946.688
285,harmonic2,R8,ENW,5345.234506
286,harmonic2,R9,AFD,8230.373959
287,harmonic2,R9,AFW,560859.4934
288,harmonic2,R9,ANW,2712.330296
289,harmonic2,R9,BFD,5917.430805
290,harmonic2,R9,BFW,2929.856327
